time,type
1719453281,start
1719453350,start
1719453380,start
1719453416,start
1719453625,start
1719453874,start
1719453835,start
1719453902,start
1719453989,start
1719454240,start
1719454378,start
1719454464,start
1719454477,start
1719454638,start
1719454828,start
1719455114,start
1719455111,start
1719455553,start
1719455537,start
1719455618,start
1719455728,start
1719455698,start
1719455746,start
1719455983,start
1719455836,start
1719456007,start
1719456105,start
1719456232,start
1719456225,start
1719456382,start
1719456590,start
1719457060,start
1719457108,start
1719457109,start
1719457490,start
1719457490,start
1719457543,start
1719457580,start
1719457694,start
1719457821,start
1719457919,start
1719458154,start
1719458180,start
1719458246,start
1719458227,start
1719458481,start
1719458688,start
1719458735,start
1719458930,start
1719459212,start
1719459326,start
1719459407,start
1719459451,start
1719459609,start
1719459700,start
1719459925,start
1719459967,start
1719460066,start
1719460187,start
1719460391,start
1719460453,start
1719460472,start
1719460724,start
1719460816,start
1719463803,start
1719460856,start
1719476230,start
1719465456,start
1719461112,start
1719461201,start
1719461343,start
1719461487,start
1719461543,start
1719461919,start
1719462280,start
1719462242,start
1719462263,start
1719462622,start
1719462851,start
1719463187,start
1719463542,start
1719463900,start
